participant_id,arm,duration_min,presentation_order,attention_pass,attention_choice,age_band,gender,background,n_items
P036,judgment,19.06,C01|C04|C02|C07|C03|C06|A09|C08|C05|A10,1,0,45-54,Man,No,54
P027,judgment,17.36,C08|C07|C02|C05|C06|C01|A09|C03|C04|A10,1,0,35-44,Man,Yes,54
P088,judgment,21.23,C04|C07|C03|C01|C02|C08|C06|A10|C05|A09,1,0,18-24,Woman,Yes,54
P082,judgment,23.15,C08|C06|C07|C01|C03|C04|A09|A10|C05|C02,1,0,35-44,Man,No,54
P035,judgment,21.97,C07|C08|C02|C05|C04|A09|C06|C01|A10|C03,1,0,25-34,Man,No,54
P011,judgment,14.54,C02|C05|C08|C04|A09|C07|C01|C06|C03|A10,1,0,25-34,Woman,No,54
P049,manipulation,11.19,C04|C06|C05|C08|A10|C02|C01|A09|C03|C07,1,0,35-44,Man,No,59
P070,judgment,24.52,C01|C04|C02|C05|C07|C08|A10|C06|A09|C03,1,0,25-34,Man,No,54
P043,judgment,25.11,C05|C07|C03|C08|A09|C02|A10|C01|C06|C04,1,0,25-34,Man,No,54
P059,manipulation,20.91,C05|C08|C03|C04|C02|C01|A09|C06|A10|C07,1,0,18-24,Man,Yes,59
P020,manipulation,23.19,C02|C05|C01|C08|C04|C03|A10|C07|C06|A09,1,0,45-54,Woman,Yes,59
P051,judgment,22.98,C03|C06|C05|C02|C01|C07|C04|C08|A10|A09,1,0,18-24,Man,No,54
P004,manipulation,9.96,C02|C06|C08|C07|A09|C03|C01|C05|C04|A10,1,0,55+,Woman,No,59
P038,judgment,25.33,C05|C04|C02|C07|A09|A10|C01|C08|C06|C03,1,0,18-24,Man,Yes,54
P085,manipulation,11.55,C04|C02|C06|C08|C01|A10|A09|C05|C03|C07,1,0,25-34,Non-binary,No,59
P019,manipulation,10.44,C08|C02|C03|C01|C06|C04|C05|A09|C07|A10,1,0,45-54,Woman,Yes,59
P052,manipulation,17.26,C05|C08|C06|C04|C02|C07|A10|A09|C03|C01,1,0,18-24,Man,No,59
P009,manipulation,7.21,C06|C03|C05|C08|A09|C07|C02|C01|C04|A10,1,0,25-34,Woman,No,59
P022,manipulation,14.46,C05|C03|C08|C07|C06|C02|C01|A09|A10|C04,1,0,18-24,Man,No,59
P053,manipulation,11.67,C01|C04|C05|C03|C02|A10|A09|C08|C06|C07,1,0,18-24,Woman,No,59
P042,manipulation,19.85,C03|C06|C05|C08|C01|C02|A10|C07|A09|C04,1,0,18-24,Man,Yes,59
P056,manipulation,13.04,C05|C08|C06|C04|A10|A09|C07|C01|C03|C02,1,0,18-24,Man,No,59
P073,manipulation,11.43,C02|C08|C06|C07|C05|C01|A09|C03|C04|A10,1,0,25-34,Non-binary,Yes,59
P066,manipulation,25.98,C03|C01|C06|C07|A09|C02|C04|C05|A10|C08,1,0,18-24,Woman,Yes,59
P013,manipulation,10.98,C07|C03|C08|C02|C05|C01|A10|C06|C04|A09,1,0,25-34,Man,No,59
P087,manipulation,12.21,C03|C02|C08|C06|C07|C05|A10|A09|C04|C01,1,0,25-34,Man,No,59
P045,manipulation,6.4,C07|C03|C05|C06|C02|C08|A09|C04|A10|C01,1,0,18-24,Man,Prefer not to say,59
P047,manipulation,17.39,C01|C07|C02|C05|A09|C03|A10|C08|C06|C04,1,0,18-24,Man,Yes,59
P090,manipulation,11.22,C06|C07|C03|C02|C05|C04|A09|C08|A10|C01,1,0,18-24,Man,No,59
P077,manipulation,9.97,C03|C04|C07|C06|C01|A10|A09|C08|C05|C02,1,0,18-24,Woman,No,59
P044,manipulation,20.85,C02|C04|C06|C07|A10|A09|C03|C01|C08|C05,1,0,18-24,Woman,No,59
P021,manipulation,31.83,C04|C07|C05|C01|C02|C08|C06|C03|A09|A10,1,0,25-34,Woman,No,59
P031,manipulation,22.72,C04|C02|C05|C03|C08|C01|C07|C06|A10|A09,1,0,18-24,Non-binary,No,59
P093,manipulation,9.02,C06|C08|C07|C02|A09|A10|C04|C05|C01|C03,1,0,25-34,Man,No,59
P064,manipulation,11.7,C02|C05|C07|C08|C04|C06|C01|A10|A09|C03,1,0,35-44,Woman,No,59
P096,manipulation,13.13,C06|C08|C03|C05|C02|A09|A10|C07|C04|C01,1,0,35-44,Woman,No,59
P024,manipulation,19.16,C07|C05|C02|C08|C04|C01|A10|C03|A09|C06,1,0,25-34,Man,No,59
P078,manipulation,18.84,C02|C01|C05|C03|C04|C06|A09|C08|C07|A10,1,0,55+,Man,No,59
P076,manipulation,13.21,C08|C04|C06|C05|A09|C01|A10|C02|C03|C07,1,0,35-44,Woman,No,59
P003,manipulation,15.25,C07|C05|C03|C06|C02|A10|C08|C01|C04|A09,1,0,35-44,Man,No,59
P061,manipulation,21.01,C01|C04|C02|C03|A10|C08|A09|C05|C06|C07,1,0,55+,Woman,Yes,59
P050,manipulation,19.92,C05|C02|C03|C08|C07|C06|C01|A09|A10|C04,1,0,25-34,Man,No,59
P098,manipulation,20.21,C08|C01|C04|C07|C03|C06|A10|C05|A09|C02,1,0,35-44,Man,Prefer not to say,59
P006,manipulation,26.61,C07|C08|C03|C01|C02|A09|C04|C05|A10|C06,1,0,35-44,Man,No,59
P014,manipulation,20.59,C03|C07|C08|C04|A10|C01|A09|C06|C05|C02,1,0,35-44,Man,No,59
P040,judgment,15.74,C08|C03|C02|C01|A10|C05|C06|C07|C04|A09,1,0,18-24,Man,No,54
P091,manipulation,12.8,C05|C03|C08|C01|A09|A10|C04|C07|C06|C02,1,0,45-54,Man,No,59
P001,manipulation,30.33,C07|C08|C03|C04|C02|C01|A09|C06|C05|A10,1,0,55+,Woman,No,59
P023,manipulation,16.14,C01|C08|C07|C02|C06|C04|C03|A09|A10|C05,1,0,35-44,Woman,No,59
P046,manipulation,23.67,C08|C01|C04|C03|A09|C02|A10|C07|C05|C06,1,0,35-44,Man,Yes,59
P094,manipulation,10.03,C07|C04|C03|C06|C08|A10|C05|A09|C02|C01,1,0,25-34,Man,No,59
P041,manipulation,19.49,C05|C08|C03|C01|C06|C02|A09|A10|C04|C07,1,0,35-44,Man,Yes,59
P071,manipulation,15.12,C02|C06|C07|C08|C03|A09|C01|C05|C04|A10,1,0,18-24,Woman,Yes,59
P062,manipulation,29.99,C05|C06|C07|C03|C04|A10|C02|C08|A09|C01,1,0,25-34,Woman,No,59
P081,manipulation,14.24,C03|C06|C04|C02|C01|C08|C05|A09|A10|C07,1,0,35-44,Woman,No,59
P015,manipulation,14.09,C07|C08|C06|C03|C05|A09|C02|A10|C01|C04,1,0,45-54,Man,No,59
P034,manipulation,8.64,C06|C07|C05|C03|A10|C01|C02|C04|A09|C08,1,0,35-44,Man,No,59
P007,manipulation,8.85,C06|C04|C08|C03|A10|C02|A09|C01|C07|C05,1,0,45-54,Man,No,59
P068,manipulation,18.96,C01|C03|C08|C02|A09|C04|C07|C05|A10|C06,1,0,25-34,Woman,No,59
P055,manipulation,25.53,C08|C03|C01|C07|C05|A09|C06|A10|C02|C04,1,0,25-34,Woman,No,59

