participant_id,arm,duration_min,presentation_order,attention_pass,attention_choice,age_band,gender,background,n_items
P063,judgment,14.040000,C04|C01|C03|C02|A10|C07|C06|C05|C08|A09,1,0,35-44,Woman,No,54
P097,judgment,14.720000,C01|C02|C05|C06|C03|C08|C07|A10|A09|C04,1,0,35-44,Woman,Yes,54
P037,judgment,15.040000,C03|C06|C01|C04|C05|A09|C02|C07|A10|C08,1,0,25-34,Man,No,54
P017,judgment,13.180000,C07|C06|C08|C02|C03|C01|A10|A09|C05|C04,1,0,55+,Man,No,54
P039,judgment,13.890000,C05|C08|C04|C03|C07|C02|A10|C01|C06|A09,1,0,18-24,Man,No,54
P032,judgment,15.260000,C04|C03|C01|C08|C07|A10|A09|C02|C06|C05,1,0,55+,Woman,No,54
P058,judgment,15.840000,C03|C04|C08|C07|C01|C06|A09|C05|C02|A10,1,0,18-24,Woman,No,54
P092,manipulation,11.470000,C07|C02|C03|C06|A09|C08|C05|C01|C04|A10,1,0,25-34,Woman,No,59
P083,judgment,15.950000,C01|C05|C03|C02|C04|C06|A10|C07|A09|C08,1,0,35-44,Woman,Prefer not to say,54
P071,judgment,16.810000,C04|C05|C03|C01|C08|C06|A09|A10|C02|C07,1,0,18-24,Woman,Yes,54
P074,judgment,16.670000,C03|C01|C08|C06|C04|A09|C07|A10|C05|C02,1,0,35-44,Woman,Prefer not to say,54
P030,judgment,17.000000,C07|C05|C03|C06|C01|A09|C08|A10|C02|C04,1,0,55+,Man,No,54
P069,judgment,16.640000,C01|C05|C04|C06|A10|C07|A09|C02|C03|C08,1,0,25-34,Woman,No,54
P026,judgment,17.530000,C07|C02|C08|C03|C01|A10|C06|C05|A09|C04,1,0,25-34,Man,No,54
P029,judgment,17.430000,C06|C08|C03|C04|C02|A10|C05|C07|A09|C01,1,0,25-34,Woman,No,54
P025,judgment,17.870000,C06|C03|C02|C07|C05|C01|A09|A10|C04|C08,1,0,45-54,Woman,Yes,54
P057,judgment,17.670000,C03|C08|C06|C07|A09|C04|C01|C02|A10|C05,1,0,25-34,Man,No,54
P075,judgment,18.760000,C07|C02|C03|C04|C06|C08|A09|C01|C05|A10,1,0,35-44,Woman,No,54
P047,judgment,16.410000,C06|C01|C02|C03|C04|C08|C07|A10|C05|A09,1,0,18-24,Man,Yes,54
P089,judgment,19.080000,C05|C07|C08|C04|C06|C01|A09|A10|C02|C03,1,0,18-24,Man,Yes,54
P054,judgment,17.500000,C02|C03|C05|C08|C06|A09|C04|C07|C01|A10,1,0,45-54,Woman,Yes,54
P099,judgment,18.360000,C01|C07|C03|C02|A09|C04|A10|C05|C06|C08,1,0,25-34,Woman,No,54
P036,judgment,19.060000,C01|C04|C02|C07|C03|C06|A09|C08|C05|A10,1,0,45-54,Man,No,54
P027,judgment,17.360000,C08|C07|C02|C05|C06|C01|A09|C03|C04|A10,1,0,35-44,Man,Yes,54
P088,judgment,21.230000,C04|C07|C03|C01|C02|C08|C06|A10|C05|A09,1,0,18-24,Woman,Yes,54
P082,judgment,23.150000,C08|C06|C07|C01|C03|C04|A09|A10|C05|C02,1,0,35-44,Man,No,54
P035,judgment,21.970000,C07|C08|C02|C05|C04|A09|C06|C01|A10|C03,1,0,25-34,Man,No,54
P011,judgment,14.540000,C02|C05|C08|C04|A09|C07|C01|C06|C03|A10,1,0,25-34,Woman,No,54
P049,manipulation,11.190000,C04|C06|C05|C08|A10|C02|C01|A09|C03|C07,1,0,35-44,Man,No,59
P070,judgment,24.520000,C01|C04|C02|C05|C07|C08|A10|C06|A09|C03,1,0,25-34,Man,No,54
P043,judgment,25.110000,C05|C07|C03|C08|A09|C02|A10|C01|C06|C04,1,0,25-34,Man,No,54
P059,manipulation,20.910000,C05|C08|C03|C04|C02|C01|A09|C06|A10|C07,1,0,18-24,Man,Yes,59
P020,manipulation,23.190000,C02|C05|C01|C08|C04|C03|A10|C07|C06|A09,1,0,45-54,Woman,Yes,59
P051,judgment,22.980000,C03|C06|C05|C02|C01|C07|C04|C08|A10|A09,1,0,18-24,Man,No,54
P004,manipulation,9.960000,C02|C06|C08|C07|A09|C03|C01|C05|C04|A10,1,0,55+,Woman,No,59
P038,judgment,25.330000,C05|C04|C02|C07|A09|A10|C01|C08|C06|C03,1,0,18-24,Man,Yes,54
P085,manipulation,11.550000,C04|C02|C06|C08|C01|A10|A09|C05|C03|C07,1,0,25-34,Non-binary,No,59
P019,manipulation,10.440000,C08|C02|C03|C01|C06|C04|C05|A09|C07|A10,1,0,45-54,Woman,Yes,59
P052,manipulation,17.260000,C05|C08|C06|C04|C02|C07|A10|A09|C03|C01,1,0,18-24,Man,No,59
P009,manipulation,7.210000,C06|C03|C05|C08|A09|C07|C02|C01|C04|A10,1,0,25-34,Woman,No,59
P022,manipulation,14.460000,C05|C03|C08|C07|C06|C02|C01|A09|A10|C04,1,0,18-24,Man,No,59
P053,manipulation,11.670000,C01|C04|C05|C03|C02|A10|A09|C08|C06|C07,1,0,18-24,Woman,No,59
P042,manipulation,19.850000,C03|C06|C05|C08|C01|C02|A10|C07|A09|C04,1,0,18-24,Man,Yes,59
P056,manipulation,13.040000,C05|C08|C06|C04|A10|A09|C07|C01|C03|C02,1,0,18-24,Man,No,59
P073,manipulation,11.430000,C02|C08|C06|C07|C05|C01|A09|C03|C04|A10,1,0,25-34,Non-binary,Yes,59
P066,manipulation,25.980000,C03|C01|C06|C07|A09|C02|C04|C05|A10|C08,1,0,18-24,Woman,Yes,59
P013,manipulation,10.980000,C07|C03|C08|C02|C05|C01|A10|C06|C04|A09,1,0,25-34,Man,No,59
P087,manipulation,12.210000,C03|C02|C08|C06|C07|C05|A10|A09|C04|C01,1,0,25-34,Man,No,59
P045,manipulation,6.400000,C07|C03|C05|C06|C02|C08|A09|C04|A10|C01,1,0,18-24,Man,Prefer not to say,59
P047,manipulation,17.390000,C01|C07|C02|C05|A09|C03|A10|C08|C06|C04,1,0,18-24,Man,Yes,59
P090,manipulation,11.220000,C06|C07|C03|C02|C05|C04|A09|C08|A10|C01,1,0,18-24,Man,No,59
P077,manipulation,9.970000,C03|C04|C07|C06|C01|A10|A09|C08|C05|C02,1,0,18-24,Woman,No,59
P044,manipulation,20.850000,C02|C04|C06|C07|A10|A09|C03|C01|C08|C05,1,0,18-24,Woman,No,59
P021,manipulation,31.830000,C04|C07|C05|C01|C02|C08|C06|C03|A09|A10,1,0,25-34,Woman,No,59
P031,manipulation,22.720000,C04|C02|C05|C03|C08|C01|C07|C06|A10|A09,1,0,18-24,Non-binary,No,59
P093,manipulation,9.020000,C06|C08|C07|C02|A09|A10|C04|C05|C01|C03,1,0,25-34,Man,No,59
P064,manipulation,11.700000,C02|C05|C07|C08|C04|C06|C01|A10|A09|C03,1,0,35-44,Woman,No,59
P096,manipulation,13.130000,C06|C08|C03|C05|C02|A09|A10|C07|C04|C01,1,0,35-44,Woman,No,59
P024,manipulation,19.160000,C07|C05|C02|C08|C04|C01|A10|C03|A09|C06,1,0,25-34,Man,No,59
P078,manipulation,18.840000,C02|C01|C05|C03|C04|C06|A09|C08|C07|A10,1,0,55+,Man,No,59
P076,manipulation,13.210000,C08|C04|C06|C05|A09|C01|A10|C02|C03|C07,1,0,35-44,Woman,No,59
P003,manipulation,15.250000,C07|C05|C03|C06|C02|A10|C08|C01|C04|A09,1,0,35-44,Man,No,59
P061,manipulation,21.010000,C01|C04|C02|C03|A10|C08|A09|C05|C06|C07,1,0,55+,Woman,Yes,59
P050,manipulation,19.920000,C05|C02|C03|C08|C07|C06|C01|A09|A10|C04,1,0,25-34,Man,No,59
P098,manipulation,20.210000,C08|C01|C04|C07|C03|C06|A10|C05|A09|C02,1,0,35-44,Man,Prefer not to say,59
P006,manipulation,26.610000,C07|C08|C03|C01|C02|A09|C04|C05|A10|C06,1,0,35-44,Man,No,59
P014,manipulation,20.590000,C03|C07|C08|C04|A10|C01|A09|C06|C05|C02,1,0,35-44,Man,No,59
P040,judgment,15.740000,C08|C03|C02|C01|A10|C05|C06|C07|C04|A09,1,0,18-24,Man,No,54
P091,manipulation,12.800000,C05|C03|C08|C01|A09|A10|C04|C07|C06|C02,1,0,45-54,Man,No,59
P001,manipulation,30.330000,C07|C08|C03|C04|C02|C01|A09|C06|C05|A10,1,0,55+,Woman,No,59
P023,manipulation,16.140000,C01|C08|C07|C02|C06|C04|C03|A09|A10|C05,1,0,35-44,Woman,No,59
P046,manipulation,23.670000,C08|C01|C04|C03|A09|C02|A10|C07|C05|C06,1,0,35-44,Man,Yes,59
P094,manipulation,10.030000,C07|C04|C03|C06|C08|A10|C05|A09|C02|C01,1,0,25-34,Man,No,59
P041,manipulation,19.490000,C05|C08|C03|C01|C06|C02|A09|A10|C04|C07,1,0,35-44,Man,Yes,59
P071,manipulation,15.120000,C02|C06|C07|C08|C03|A09|C01|C05|C04|A10,1,0,18-24,Woman,Yes,59
P062,manipulation,29.990000,C05|C06|C07|C03|C04|A10|C02|C08|A09|C01,1,0,25-34,Woman,No,59
P081,manipulation,14.240000,C03|C06|C04|C02|C01|C08|C05|A09|A10|C07,1,0,35-44,Woman,No,59
P015,manipulation,14.090000,C07|C08|C06|C03|C05|A09|C02|A10|C01|C04,1,0,45-54,Man,No,59
P034,manipulation,8.640000,C06|C07|C05|C03|A10|C01|C02|C04|A09|C08,1,0,35-44,Man,No,59
P007,manipulation,8.850000,C06|C04|C08|C03|A10|C02|A09|C01|C07|C05,1,0,45-54,Man,No,59
P068,manipulation,18.960000,C01|C03|C08|C02|A09|C04|C07|C05|A10|C06,1,0,25-34,Woman,No,59
P055,manipulation,25.530000,C08|C03|C01|C07|C05|A09|C06|A10|C02|C04,1,0,25-34,Woman,No,59
